"language","license","rightsHolder","bibliographicCitation","institutionID","datasetID","datasetName","taxonID","scientificName","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","taxonRank","scientificNameAuthorship","nomenclaturalCode"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 11","http://biocol.org/urn:lsid:biocol.org:col:15605","","Checklist of the Rust Fungi of Belgium","uredinales-belgium-checklist:taxon:260455576301d23f512a9650f9936ef9","Hyalopsora polypodii (Dietel) Magnus","Fungi","Basidiomycota","Uredinales","Pucciniastraceae  ","Hyalopsora","polypodii","","species","(Dietel) Magnus","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 11","http://biocol.org/urn:lsid:biocol.org:col:15605","","Checklist of the Rust Fungi of Belgium","uredinales-belgium-checklist:taxon:8fe069e7f3228441fb405002b038aaf1","Melampsorella caryophyllacearum J. Schröt","Fungi","Basidiomycota","Uredinales","Pucciniastraceae  ","Melampsorella","caryophyllacearum","","species","J.Schröt","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 11","http://biocol.org/urn:lsid:biocol.org:col:15605","","Checklist of the Rust Fungi of Belgium","uredinales-belgium-checklist:taxon:cf04e2617aba99a239404b150dd8f933","Melampsorella symphyti Bubák","Fungi","Basidiomycota","Uredinales","Pucciniastraceae  ","Melampsorella","symphyti","","species","Bubák","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 12","http://biocol.org/urn:lsid:biocol.org:col:15605","","Checklist of the Rust Fungi of Belgium","uredinales-belgium-checklist:taxon:8f40d1f544b697192379f3573ae269d8","Melampsoridium betulinum (Fr.) Kleb.","Fungi","Basidiomycota","Uredinales","Pucciniastraceae  ","Melampsoridium","betulinum","","species","(Fr.) Kleb.","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 12","http://biocol.org/urn:lsid:biocol.org:col:15605","","Checklist of the Rust Fungi of Belgium","uredinales-belgium-checklist:taxon:906765b70ce7ae6a8830ea9f7ea352f4","Milesina blechni (Syd. & P. Syd.) Syd.","Fungi","Basidiomycota","Uredinales","Pucciniastraceae  ","Milesina","blechni","","species","(Syd. & P.Syd.) Syd.","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 12","http://biocol.org/urn:lsid:biocol.org:col:15605","","Checklist of the Rust Fungi of Belgium","uredinales-belgium-checklist:taxon:8e55e76ae542346be4dfe62032aef53b","Naohidemyces vaccinii (G. Winter) S. Sato, Katsuya & Y. Hirats.","Fungi","Basidiomycota","Uredinales","Pucciniastraceae  ","Naohidemyces","vaccinii","","species","(G.Winter) S.Sato, Katsuya & Y.Hirats.","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 12","http://biocol.org/urn:lsid:biocol.org:col:15605","","Checklist of the Rust Fungi of Belgium","uredinales-belgium-checklist:taxon:587ab4ddc9826777f88853f016f295d8","Pucciniastrum agrimoniae (Dietel) Tranz.","Fungi","Basidiomycota","Uredinales","Pucciniastraceae  ","Pucciniastrum","agrimoniae","","species","(Dietel) Tranz.","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 12","http://biocol.org/urn:lsid:biocol.org:col:15605","","Checklist of the Rust Fungi of Belgium","uredinales-belgium-checklist:taxon:aafacca828222e60fccc696da7ea3a36","Pucciniastrum areolatum (Fr.) G.H. Otth","Fungi","Basidiomycota","Uredinales","Pucciniastraceae  ","Pucciniastrum","areolatum","","species","(Fr.) G.H.Otth","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 13","http://biocol.org/urn:lsid:biocol.org:col:15605","","Checklist of the Rust Fungi of Belgium","uredinales-belgium-checklist:taxon:90d6fe85dea087e7498c225b84f9b6f3","Pucciniastrum circaeae (G. Winter) Speg. ex De Toni","Fungi","Basidiomycota","Uredinales","Pucciniastraceae  ","Pucciniastrum","circaeae","","species","(G.Winter) Speg. ex De Toni","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 13","http://biocol.org/urn:lsid:biocol.org:col:15605","","Checklist of the Rust Fungi of Belgium","uredinales-belgium-checklist:taxon:0dc0649e0c025283a048dd3f5bd87ad7","Pucciniastrum epilobii G.H. Otth","Fungi","Basidiomycota","Uredinales","Pucciniastraceae  ","Pucciniastrum","epilobii","","species","G.H.Otth","ICBN"
